views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
48800,7446,327,30,False,horadearrasar,som original,True,13,#horadearrasar #ambev #tiktok #brahma #horadearrasar,2020-12-06,allansalesn,6903050763124215042
1100000,165100,1969,156,True,,original sound,True,15,"MY MUM HEARD ME also, please go donate in the donate link in my bio if you can ❤️ animals lives matter too!!",2020-12-13,kylethomas,6905530005711768833
215600,17200,80,57,False,gemelas,sígueme en javiervillalobostheis,True,11,SÍGUENOS EN INSTA:DulcesGemelas💕 #gemelas #destacame #trend #fyp #challenge #dancechallenge #baile #twins #outfits #viral #dance #funny,2020-12-09,dulcesgemelas,6904391934735944961
45500,2105,41,8,False,dance,Lilnext_ en Instagram,True,11,💗💗💗❤️🔥   #dance #baile #viral #video #boy #lgbt #latino #slowmo #slow,2020-11-02,geer_franciosii,6890553472937200898
71400,4851,122,25,False,foryoupage,original sound,True,17,Silent conventional tings #foryoupage #fyp #foryou #powerlifting #bodybuilding #deadlift #fitness #workout #fittok #powertok,2020-10-08,timmytimmadome,6881035542830550278
148200,4851,22,61,False,fyp,original sound,True,23,Loudest pops in WWE history Pt. 1 #fyp #foryoupage #HBK #shawnmichaels #MickFoley #StoneCold #leagueofnations #wwe #wwf,2020-10-21,officialjesuschrist0,6886011511391718657
5400000,846100,7471,18300,False,stitch,Drip Like ME,False,9,#stitch mit @malkimeansking #foryou #viral #fy #fyp #foryoupage,2020-12-19,rapperedits1244,6908031436243225858
6893,277,5,78,False,transition,original sound,True,18,Insta par aao bt krte hain 😍♥️ #transition #foryou #foryoupage #fyp #tiktokindia #duet #acting #slowmo #love #burhan_tv #featureme #viral #famous,2020-10-22,mrsheziii_110,6886383962885737730
23100,1816,66,7,False,vairal,original sound,True,13,Reply to @mrpathan_1  main karachi se hu Jo b ham se millna chahta hai insta pe bat karenge#vairal #100k #illu #foryou #foryoupage #fyp,2020-10-12,wajidkhan2025,6882817271899770114
166600,26200,469,114,False,duet,original sound,True,17,#duet with @_devinnscott care if I just vibe with y’all #vibes #vibecheck,2020-10-07,jesse_jones,6880986381309562118
22700,2349,20,8,False,,original sound,True,14,,2020-10-10,nomankhan8671,6881841137934454017
50300,8516,70,380,False,animeedit,Stupid horse by 100gecs dogwives breakneck remix,True,9,Flash Warning #animeedit #edit #anime #fyp #recommendations #rec #tokyoghoul #kaneki,2020-10-31,vniz_edits,6889769067306061057
27600,1833,87,28,False,vairal,original sound,True,29,friends ka liya kuch b karna padta hai and Tak dekho acha song hai #vairal #100k #illu #foryou #foryoupage #fyp,2020-10-13,wajidkhan2025,6883070138279677186
102900,14700,1112,121,False,army,original sound,True,57,@skywalker87x @donalemiles #army #military #help #usarmy #veteran #AltRocktober #OikosOneTrip #marines #fyp #foryou,2020-10-01,dirtybirdfitness,6878668790503116038
73600,6529,30,18,False,horadearrasar,Senta no Fazendeiro,False,13,#horadearrasar fiz tb 😀#horadearrasar #foryou #fyp #viral #tiktokbrasil #tiktok #3tambores #horse #horses #sentanofazendeiro #fazendeiro,2020-11-11,anabeamaral,6893935935684185346
56800,8960,562,59,False,greenscreen,original sound,True,55,Reply to @akabutt #greenscreen  army #marines #military #navy #airforce #coastguard #firyou #GimmeSomeTruth #StrapBack,2020-10-09,jonbezrouch,6881719705028021509
291200,46200,406,33,True,,original sound,True,59,responding to @stressinabox’s video!! ❤️✨ thank you for the advice!!,2020-12-11,kylethomas,6904976916437044482
30300,1859,55,3,False,strength,original sound,True,12,Reply to @julius_augustsson - this is my current total. Baby steps. One day I’ll be strong. #strength #lift #gym #squat,2020-10-05,benjamin_robert_graham,6880203069192211713
101800,11500,388,34,False,,original sound,True,14,Reply to @jr6383638368373837,2020-11-04,chris_wells_,6891396863979769093
3600000,305300,1777,1688,False,kungfu,original sound,True,22,Have you learned#kungfu #chinesekungfu,2020-12-21,philip2021_oe,6908543785303608581
430100,67300,1578,1972,False,,Trampoline,False,26,Rise & shine 🌄 @drew.simms,2020-11-15,riovacci,6895420478932946177
167500,14600,344,33,False,shapeshifter,оригинальный звук,True,9,Dit filter laat zien op wie ik lijk.. #shapeshifter #shapeshifting @bramkriktok,2020-11-26,diontvg,6899441890677116162
